id,category,ph,vd,key
RATVCLN_01,Cleaning,ratv_media/RATVCLN/RATVCLN_PH/RATVCLN_01.jpg,ratv_media/RATVCLN/RATVCLN_VD/RATVCLN_01.mp4,"cleaning, washing, squeegee, maintenance, commercial, building, solar panel, solar, photovoltaic,"
RATVCLN_02,Cleaning,ratv_media/RATVCLN/RATVCLN_PH/RATVCLN_02.jpg,ratv_media/RATVCLN/RATVCLN_VD/RATVCLN_02.mp4,"cleaning, washing, squeegee, maintenance, commercial, building, solar panel, solar, photovoltaic,"
RATVCLN_03,Cleaning,ratv_media/RATVCLN/RATVCLN_PH/RATVCLN_03.jpg,ratv_media/RATVCLN/RATVCLN_VD/RATVCLN_03.mp4,"cleaning, washing, squeegee, maintenance, commercial, building, solar panel, solar, photovoltaic,"
RATVCLN_04,Cleaning,ratv_media/RATVCLN/RATVCLN_PH/RATVCLN_04.jpg,ratv_media/RATVCLN/RATVCLN_VD/RATVCLN_04.mp4,"cleaning, washing, squeegee, maintenance, commercial, building, solar panel, solar, photovoltaic,"
RATVCLN_05,Cleaning,ratv_media/RATVCLN/RATVCLN_PH/RATVCLN_05.jpg,ratv_media/RATVCLN/RATVCLN_VD/RATVCLN_05.mp4,"cleaning, washing, squeegee, maintenance, commercial, building, solar panel, solar, photovoltaic,"
RATVCLN_06,Cleaning,ratv_media/RATVCLN/RATVCLN_PH/RATVCLN_06.jpg,ratv_media/RATVCLN/RATVCLN_VD/RATVCLN_06.mp4,"cleaning, washing, squeegee, maintenance, commercial, building, solar panel, solar, photovoltaic,"
RATVCLN_07,Cleaning,ratv_media/RATVCLN/RATVCLN_PH/RATVCLN_07.jpg,ratv_media/RATVCLN/RATVCLN_VD/RATVCLN_07.mp4,"cleaning, washing, squeegee, maintenance, commercial, building, solar panel, solar, photovoltaic,"
RATVCLN_08,Cleaning,ratv_media/RATVCLN/RATVCLN_PH/RATVCLN_08.jpg,ratv_media/RATVCLN/RATVCLN_VD/RATVCLN_08.mp4,"cleaning, washing, squeegee, maintenance, commercial, building, solar panel, solar, photovoltaic,"
RATVCLN_09,Cleaning,ratv_media/RATVCLN/RATVCLN_PH/RATVCLN_09.jpg,ratv_media/RATVCLN/RATVCLN_VD/RATVCLN_09.mp4,"cleaning, washing, squeegee, maintenance, commercial, building, solar panel, solar, photovoltaic,"
RATVCLN_10,Cleaning,ratv_media/RATVCLN/RATVCLN_PH/RATVCLN_10.jpg,ratv_media/RATVCLN/RATVCLN_VD/RATVCLN_10.mp4,"cleaning, washing, squeegee, maintenance, commercial, building, solar panel, solar, photovoltaic,"
RATVCLN_11,Cleaning,ratv_media/RATVCLN/RATVCLN_PH/RATVCLN_11.jpg,ratv_media/RATVCLN/RATVCLN_VD/RATVCLN_11.mp4,"cleaning, washing, squeegee, maintenance, commercial, building, solar panel, solar, photovoltaic,"
RATVCLN_12,Cleaning,ratv_media/RATVCLN/RATVCLN_PH/RATVCLN_12.jpg,ratv_media/RATVCLN/RATVCLN_VD/RATVCLN_12.mp4,"cleaning, washing, squeegee, maintenance, commercial, building, solar panel, solar, photovoltaic,"
RATVCLN_13,Cleaning,ratv_media/RATVCLN/RATVCLN_PH/RATVCLN_13.jpg,ratv_media/RATVCLN/RATVCLN_VD/RATVCLN_13.mp4,"cleaning, washing, squeegee, maintenance, commercial, building, solar panel, solar, photovoltaic,"
RATVCLN_14,Cleaning,ratv_media/RATVCLN/RATVCLN_PH/RATVCLN_14.jpg,ratv_media/RATVCLN/RATVCLN_VD/RATVCLN_14.mp4,"cleaning, washing, squeegee, maintenance, commercial, building, solar panel, solar, photovoltaic,"
RATVCLN_15,Cleaning,ratv_media/RATVCLN/RATVCLN_PH/RATVCLN_15.jpg,ratv_media/RATVCLN/RATVCLN_VD/RATVCLN_15.mp4,"cleaning, washing, squeegee, maintenance, commercial, building, solar panel, solar, photovoltaic,"
RATVCLN_16,Cleaning,ratv_media/RATVCLN/RATVCLN_PH/RATVCLN_16.jpg,ratv_media/RATVCLN/RATVCLN_VD/RATVCLN_16.mp4,"cleaning, washing, squeegee, maintenance, commercial, building, solar panel, solar, photovoltaic,"
RATVCLN_17,Cleaning,ratv_media/RATVCLN/RATVCLN_PH/RATVCLN_17.jpg,ratv_media/RATVCLN/RATVCLN_VD/RATVCLN_17.mp4,"cleaning, washing, squeegee, maintenance, commercial, building, solar panel, solar, photovoltaic,"
RATVCLN_18,Cleaning,ratv_media/RATVCLN/RATVCLN_PH/RATVCLN_18.jpg,ratv_media/RATVCLN/RATVCLN_VD/RATVCLN_18.mp4,"cleaning, washing, squeegee, maintenance, commercial, building, solar panel, solar, photovoltaic,"
RATVCLN_19,Cleaning,ratv_media/RATVCLN/RATVCLN_PH/RATVCLN_19.jpg,ratv_media/RATVCLN/RATVCLN_VD/RATVCLN_19.mp4,"cleaning, washing, squeegee, maintenance, commercial, building, solar panel, solar, photovoltaic,"
RATVCLN_20,Cleaning,ratv_media/RATVCLN/RATVCLN_PH/RATVCLN_20.jpg,ratv_media/RATVCLN/RATVCLN_VD/RATVCLN_20.mp4,"cleaning, washing, squeegee, maintenance, commercial, building, solar panel, solar, photovoltaic,"
RATVCLN_21,Cleaning,ratv_media/RATVCLN/RATVCLN_PH/RATVCLN_21.jpg,ratv_media/RATVCLN/RATVCLN_VD/RATVCLN_21.mp4,"cleaning, washing, squeegee, maintenance, commercial, building, solar panel, solar, photovoltaic,"
RATVCLN_22,Cleaning,ratv_media/RATVCLN/RATVCLN_PH/RATVCLN_22.jpg,ratv_media/RATVCLN/RATVCLN_VD/RATVCLN_22.mp4,"cleaning, washing, squeegee, maintenance, commercial, building, solar panel, solar, photovoltaic,"
RATVCLN_23,Cleaning,ratv_media/RATVCLN/RATVCLN_PH/RATVCLN_23.jpg,ratv_media/RATVCLN/RATVCLN_VD/RATVCLN_23.mp4,"cleaning, washing, squeegee, maintenance, commercial, building, solar panel, solar, photovoltaic,"
RATVCLN_24,Cleaning,ratv_media/RATVCLN/RATVCLN_PH/RATVCLN_24.jpg,ratv_media/RATVCLN/RATVCLN_VD/RATVCLN_24.mp4,"cleaning, washing, squeegee, maintenance, commercial, building, solar panel, solar, photovoltaic,"
RATVCLN_25,Cleaning,ratv_media/RATVCLN/RATVCLN_PH/RATVCLN_25.jpg,ratv_media/RATVCLN/RATVCLN_VD/RATVCLN_25.mp4,"cleaning, washing, squeegee, maintenance, commercial, building, solar panel, solar, photovoltaic,"
RATVCLN_26,Cleaning,ratv_media/RATVCLN/RATVCLN_PH/RATVCLN_26.jpg,ratv_media/RATVCLN/RATVCLN_VD/RATVCLN_26.mp4,"cleaning, washing, squeegee, maintenance, commercial, building, solar panel, solar, photovoltaic,"
RATVCLN_27,Cleaning,ratv_media/RATVCLN/RATVCLN_PH/RATVCLN_27.jpg,ratv_media/RATVCLN/RATVCLN_VD/RATVCLN_27.mp4,"cleaning, washing, squeegee, maintenance, commercial, building, solar panel, solar, photovoltaic,"
RATVCLN_28,Cleaning,ratv_media/RATVCLN/RATVCLN_PH/RATVCLN_28.jpg,ratv_media/RATVCLN/RATVCLN_VD/RATVCLN_28.mp4,"cleaning, washing, squeegee, maintenance, commercial, building, solar panel, solar, photovoltaic,"
RATVCLN_29,Cleaning,ratv_media/RATVCLN/RATVCLN_PH/RATVCLN_29.jpg,ratv_media/RATVCLN/RATVCLN_VD/RATVCLN_29.mp4,"cleaning, washing, squeegee, maintenance, commercial, building, solar panel, solar, photovoltaic,"
RATVCLN_30,Cleaning,ratv_media/RATVCLN/RATVCLN_PH/RATVCLN_30.jpg,ratv_media/RATVCLN/RATVCLN_VD/RATVCLN_30.mp4,"cleaning, washing, squeegee, maintenance, commercial, building, solar panel, solar, photovoltaic,"
RATVCLN_31,Cleaning,ratv_media/RATVCLN/RATVCLN_PH/RATVCLN_31.jpg,ratv_media/RATVCLN/RATVCLN_VD/RATVCLN_31.mp4,"cleaning, washing, squeegee, maintenance, commercial, building, solar panel, solar, photovoltaic,"
RATVCLN_32,Cleaning,ratv_media/RATVCLN/RATVCLN_PH/RATVCLN_32.jpg,ratv_media/RATVCLN/RATVCLN_VD/RATVCLN_32.mp4,"cleaning, washing, squeegee, maintenance, commercial, building, solar panel, solar, photovoltaic,"
RATVCLN_33,Cleaning,ratv_media/RATVCLN/RATVCLN_PH/RATVCLN_33.jpg,ratv_media/RATVCLN/RATVCLN_VD/RATVCLN_33.mp4,"cleaning, washing, squeegee, maintenance, commercial, building, solar panel, solar, photovoltaic,"
